sgRNA	Gene	MDA-MB-231-Reference	MDA-MB-231-Baseline	MDA-MB-231-Vehicle-1	MDA-MB-231-Vehicle-2	MDA-MB-231-Cpd-1	MDA-MB-231-Cpd-2
sg_26532_4	OR10H3	1144	985	581	3433	2098	1494
sg_345079_4	SOWAHB	1693	1827	1022	2086	1155	1482
sg_51110_4	LACTB2	1170	1580	1066	1919	1649	1196
sg_9227_1	LRAT	2274	2833	1793	2778	1364	2868
sg_8453_1	CUL2	1206	1160	258	284	222	302
sg_57533_3	TBC1D14	350	765	1204	1457	2612	770
sg_27034_1	ACAD8	952	1200	1331	1730	830	1395
sg_81470_1	OR2G2	1592	1765	2072	3676	2289	3177
sg_9040_1	UBE2M	796	1554	0	0	0	0
sg_9833_1	MELK	1427	1175	1358	741	300	1046
sg_9451_1	EIF2AK3	2400	2479	2691	2482	1982	2791
sg_128360_2	OR10T2	2008	2123	850	1694	1485	2076
sg_489_4	ATP2A3	190	218	85	105	262	448
sg_100271846_1	ERVV-2	1809	1925	1039	2324	2037	1630
sg_84440_1	RAB11FIP4	1214	1438	827	754	1033	489
sg_90678_1	LRSAM1	1829	1657	1602	3270	2231	1488
sg_5202_4	PFDN2	1156	827	0	20	0	0
sg_54904_2	WHSC1L1	1940	1879	966	2447	999	1195
sg_22847_4	ZNF507	1583	1655	985	961	1131	1614
sg_55908_1	C19orf80	687	442	214	1054	767	1022
sg_112939_2	NACC1	1451	1511	2372	3044	3297	3306
sg_56245_4	C21orf62	723	1030	530	828	1340	603
sg_200504_1	GKN2	948	955	950	1024	542	721
sg_122830_3	NAA30	936	686	632	424	423	179
sg_219956_4	OR9Q1	1030	1065	705	972	842	776
sg_64768_1	IPPK	1696	1658	123	362	199	302
sg_64115_2	C10orf54	1764	2809	2715	3667	3688	4389
sg_51631_4	LUC7L2	2138	1521	211	135	90	27
sg_10226_3	PLIN3	615	698	249	734	649	449
sg_28974_3	C19orf53	322	196	0	32	22	0
sg_4711_4	NDUFB5	486	480	438	122	178	872
sg_3768_4	KCNJ12	893	1003	753	1092	599	1612
sg_10783_2	NEK6	1065	884	318	903	1334	796
sg_91392_1	ZNF502	1200	1188	922	1123	1287	1487
sg_5745_3	PTH1R	1671	1843	2100	2403	3419	2595
sg_10586_1	MAB21L2	786	902	587	1329	801	1232
sg_26525_2	IL36RN	396	293	49	632	364	379
sg_221823_3	PRPS1L1	3142	4384	3606	6567	4958	5233
sg_399818_1	METTL10	1112	1199	654	1930	1304	1260
sg_4283_4	CXCL9	1173	1012	524	1165	892	1020
sg_1394_2	CRHR1	1324	877	206	411	247	232
sg_205860_4	TRIML2	1013	1249	347	1140	618	579
sg_29074_2	MRPL18	1812	2157	141	662	229	585
sg_4758_4	NEU1	769	919	1258	2192	2208	1557
sg_28989_4	NTMT1	1712	1619	2030	2378	2191	2515
sg_57484_1	RNF150	2406	2645	1992	4526	2132	2391
sg_343990_1	KIAA1211L	1731	2327	2900	3255	5552	4312
sg_7343_3	UBTF	1851	3536	2845	4718	3361	3612
