"","Gene","score","fdr","lfc","normZ","rank","fdr_synth","geneType","Classification"
"14459","SKA3",0.81533,0.996646,0.54504,1.75,16836,1,NA,"other"
"14460","RPS27L",0.81533,0.996646,-0.69586,0.47,12030,0.99,NA,"other"
"14461","ZNF770",0.81533,0.996646,0.42725,0.85,14165,0.993,NA,"other"
"14462","RAPSN",0.81533,0.996646,-0.67868,0.5,12173,0.99,NA,"other"
"14463","NPTX2",0.81533,0.996646,-0.47729,0.77,13769,0.993,NA,"other"
"14464","IQUB",0.81533,0.996646,-0.25901,1.07,15157,0.994,NA,"other"
"14465","RPS6KA6",0.81533,0.996646,0.34917,1.21,15646,0.995,NA,"other"
"14466","MAMDC4",0.81533,0.996646,0.053363,1.24,15769,0.995,NA,"other"
"14467","TACC2",0.81533,0.996646,1.0606,2.32,17377,1,NA,"other"
"14468","PPM1J",0.81533,0.996646,-0.76116,0.34,11162,0.99,NA,"other"
"14469","GCNT4",0.81533,0.996646,-0.83677,0.37,11332,0.99,NA,"other"
"14470","CSTB",0.81533,0.996646,-0.73466,0.33,11088,0.99,NA,"other"
"14471","MRPL16",0.81537,0.996646,0.21848,0.57,12663,0.992,"Essential","Essential"
"14472","SLC6A14",0.81537,0.996646,-1.3372,0.1,9441,0.99,NA,"other"
"14473","HTRA3",0.81537,0.996646,0.5258,0.95,14644,0.993,NA,"other"
"14474","ACVR2A",0.81537,0.996646,0.9234,0.88,14339,0.993,NA,"other"
"14475","ZNF490",0.81537,0.996646,-0.66599,-0.04,8475,0.99,NA,"other"
"14476","LPHN3",0.81537,0.996646,0.35541,1.01,14900,0.993,NA,"other"
"14477","BTD",0.81537,0.996646,-0.80904,0.46,11979,0.99,NA,"other"
"14478","FOXN2",0.81537,0.996646,0.35087,1.91,17041,1,NA,"other"
"14479","PRPF40A",0.81537,0.996646,0.19511,0.87,14254,0.993,NA,"other"
"14480","CHIT1",0.81537,0.996646,0.70077,1.29,15919,0.995,NA,"other"
"14481","TSPAN4",0.81537,0.996646,0.16597,0.48,12086,0.99,NA,"other"
"14482","DDI2",0.81537,0.996646,0.33825,0.67,13222,0.992,NA,"other"
"14483","C6orf25",0.81537,0.996646,0.076495,0.7,13387,0.992,NA,"other"
"14484","MSH3",0.81537,0.996646,0.40467,1.32,15986,0.997,NA,"other"
"14485","C15orf54",0.81537,0.996646,-1.4419,0.09,9387,0.99,NA,"other"
"14486","ZFP57",0.81537,0.996646,0.16034,0.7,13371,0.992,NA,"other"
"14487","MCOLN2",0.81547,0.996646,1.7464,0.92,14518,0.993,NA,"other"
"14488","SLC6A16",0.81575,0.996646,1.1101,1.19,15605,0.995,NA,"other"
"14489","DCLRE1A",0.81627,0.996646,0.88646,1.14,15411,0.994,NA,"other"
"14490","KAT2A",0.81637,0.996646,-0.41623,0.78,13789,0.993,NA,"other"
"14491","NGFRAP1",0.81639,0.996646,-0.72762,1.19,15600,0.995,NA,"other"
"14492","EIF2B5",0.8164,0.996646,0.1221,0.98,14774,0.993,NA,"other"
"14493","SLC5A9",0.81675,0.996646,0.02076,0.32,10995,0.99,NA,"other"
"14494","DYNC2LI1",0.81682,0.996646,0.096676,0.85,14205,0.993,NA,"other"
"14495","GPD2",0.81682,0.996646,-0.80904,0.46,11955,0.99,NA,"other"
"14496","TXNDC15",0.81682,0.996646,-0.93885,0.53,12414,0.991,NA,"other"
"14497","TP53BP1",0.81682,0.996646,1.3196,1.33,16011,0.997,NA,"other"
"14498","KLHL14",0.81682,0.996646,-0.054384,0.25,10529,0.99,NA,"other"
"14499","SHC4",0.81682,0.996646,-0.68519,0.45,11874,0.99,NA,"other"
"14500","RBM45",0.81682,0.996646,0.03873,0.48,12057,0.99,NA,"other"
"14501","TRIM62",0.81682,0.996646,0.81562,1.12,15343,0.994,NA,"other"
"14502","C6orf120",0.81682,0.996646,-0.80904,0.11,9543,0.99,NA,"other"
"14503","C6orf106",0.81682,0.996646,-1.3372,0.69,13312,0.992,NA,"other"
"14504","LATS1",0.81682,0.996646,-1.7032,1.11,15309,0.994,NA,"other"
"14505","MUTYH",0.81685,0.996646,0.75857,1.08,15190,0.994,NA,"other"
"14506","UBN1",0.81692,0.996646,0.41443,0.99,14826,0.993,NA,"other"
"14507","ETV3L",0.81705,0.996646,0.14398,0.99,14838,0.993,NA,"other"
"14508","RBM7",0.81709,0.996646,-0.60559,0.46,11975,0.99,NA,"other"
"14509","FAM230A",0.8171,0.996646,0.69528,1.05,15082,0.994,NA,"other"
"14510","UGT1A10",0.81717,0.996646,-0.30849,0.36,11247,0.99,NA,"other"
"14511","ETFDH",0.81725,0.996646,0.53748,0.99,14844,0.993,NA,"other"
"14512","DPEP1",0.81726,0.996646,-0.10933,0.88,14333,0.993,NA,"other"
"14513","TCTA",0.81732,0.996646,0.79628,1.09,15248,0.994,NA,"other"
"14514","SCLT1",0.81742,0.996646,0.34974,1.37,16111,0.997,NA,"other"
"14515","ECI2",0.81746,0.996646,-0.23306,0.34,11169,0.99,NA,"other"
"14516","PPWD1",0.81749,0.996646,1.6355,1.22,15679,0.995,NA,"other"
"14517","SLC26A1",0.8175,0.996646,0.67536,1.45,16328,0.997,NA,"other"
"14518","HNRNPUL1",0.8175,0.996646,-0.51634,0.36,11260,0.99,NA,"other"
"14519","TPST2",0.81755,0.996646,0.62624,1.34,16042,0.997,NA,"other"
"14520","INTS6",0.81767,0.996646,-0.68805,0.3,10870,0.99,NA,"other"
"14521","COMMD8",0.81793,0.996646,-0.23046,0.08,9349,0.99,NA,"other"
"14522","SLC35F6",0.81803,0.996646,0.076296,0.96,14711,0.993,NA,"other"
"14523","LRRIQ1",0.81813,0.996646,-0.29731,1.24,15750,0.995,NA,"other"
"14524","PRPF38B",0.81822,0.996646,-0.80904,0.47,12020,0.99,NA,"other"
"14525","CTTN",0.81837,0.996646,-0.31363,0.85,14184,0.993,NA,"other"
"14526","CAPN2",0.81837,0.996646,-0.78082,0.31,10900,0.99,NA,"other"
"14527","SLC38A7",0.81837,0.996646,-0.59511,0.46,11944,0.99,NA,"other"
"14528","MTAP",0.81837,0.996646,-0.73233,0.45,11923,0.99,NA,"other"
"14529","PLAC8L1",0.81851,0.996646,0.62441,1.02,14966,0.993,NA,"other"
"14530","OVGP1",0.8186,0.996646,1.0388,1.2,15623,0.995,NA,"other"
"14531","ZNF572",0.81862,0.996646,1.3554,1.25,15776,0.995,NA,"other"
"14532","GLTP",0.8188,0.996646,-0.3999,0.66,13154,0.992,NA,"other"
"14533","RSPH4A",0.8188,0.996646,-0.35435,0.92,14498,0.993,NA,"other"
"14534","ZNF444",0.8188,0.996646,0.14901,1.33,15995,0.997,NA,"other"
"14535","PDILT",0.81881,0.996646,0.35541,0.78,13784,0.993,NA,"other"
"14536","HERPUD1",0.81898,0.996646,0.15423,1,14876,0.993,NA,"other"
"14537","NDRG2",0.81905,0.996646,0.11939,0.98,14792,0.993,NA,"other"
"14538","NAB1",0.8191,0.996646,-0.30318,0.52,12405,0.991,NA,"other"
"14539","TSEN15",0.81916,0.996646,0.33472,1.26,15806,0.995,NA,"other"
"14540","FGFBP2",0.81917,0.996646,0.0054074,0.66,13157,0.992,NA,"other"
"14541","MST1R",0.81921,0.996646,0.43931,0.89,14375,0.993,NA,"other"
"14542","FAIM",0.81929,0.996646,1.2184,1.23,15740,0.995,NA,"other"
"14543","ZFAND5",0.81932,0.996646,-0.80904,0.22,10359,0.99,NA,"other"
"14544","PTPDC1",0.81934,0.996646,0.36388,1.01,14903,0.993,NA,"other"
"14545","TMED2",0.81935,0.996646,0.12366,0.93,14557,0.993,"Essential","Essential"
"14546","FSIP2",0.81938,0.996646,0.41767,1,14872,0.993,NA,"other"
"14547","DEFB115",0.81948,0.996646,0.0056287,0.45,11917,0.99,NA,"other"
"14548","GALR2",0.81954,0.996646,0.69269,1.19,15608,0.995,NA,"other"
"14549","YDJC",0.81983,0.996646,0.17943,1.08,15198,0.994,NA,"other"
"14550","AP1S1",0.8199,0.996646,0.58962,1.26,15814,0.995,NA,"other"
"14551","ZFAND1",0.81994,0.996646,0.55822,0.63,12991,0.992,NA,"other"
"14552","KIAA0319L",0.81997,0.996646,-0.54284,0.49,12104,0.99,NA,"other"
"14553","HIST3H2BB",0.81999,0.996646,0.96167,1.17,15550,0.994,NA,"other"
"14554","HSF5",0.82007,0.996646,-0.31232,0.41,11598,0.99,NA,"other"
"14555","DVL2",0.82014,0.996646,1.5316,1.22,15702,0.995,NA,"other"
"14556","RBCK1",0.82018,0.996646,-1.3372,0.1,9438,0.99,NA,"other"
"14557","AXDND1",0.82022,0.996646,-0.063098,0.57,12668,0.992,NA,"other"
"14558","MAPK10",0.82026,0.996646,0.014314,0.73,13576,0.993,NA,"other"
"14559","TRIM33",0.82028,0.996646,1.8032,1.03,14999,0.993,NA,"other"
"14560","PDGFA",0.82028,0.996646,0.13418,0.52,12399,0.991,NA,"other"
"14561","EED",0.82044,0.996646,0.16121,1.01,14898,0.993,NA,"other"
"14562","APBB1IP",0.82045,0.996646,1.5899,1.07,15152,0.994,NA,"other"
"14563","COX10",0.82053,0.996646,0.042664,0.66,13160,0.992,NA,"other"
"14564","TM9SF2",0.82054,0.996646,-0.52501,0.82,14026,0.993,NA,"other"
"14565","AAR2",0.82086,0.996646,0.60854,1.19,15603,0.995,NA,"other"
"14566","IFNAR1",0.82097,0.996646,-0.023849,0.52,12401,0.991,NA,"other"
"14567","KRTAP10-5",0.82102,0.996646,-0.37898,0.43,11767,0.99,NA,"other"
"14568","MFSD2B",0.82109,0.996646,-0.22843,0.54,12470,0.991,NA,"other"
"14569","C2orf73",0.82112,0.996646,-0.065124,0.58,12733,0.992,NA,"other"
"14570","HSD17B6",0.82112,0.996646,0.082217,1.08,15211,0.994,NA,"other"
"14571","SMARCC2",0.82116,0.996646,-1.1649,0.64,13032,0.992,NA,"other"
"14572","WDR33",0.82136,0.996646,0.86764,1.68,16730,1,NA,"other"
"14573","NDRG3",0.82137,0.996646,-0.80904,0.26,10555,0.99,NA,"other"
"14574","POLH",0.82147,0.996646,0.73358,1.09,15239,0.994,NA,"other"
"14575","KLHL1",0.82149,0.996646,-0.26597,0.4,11548,0.99,NA,"other"
"14576","C5orf55",0.82165,0.996646,0.94237,2.29,17354,1,NA,"other"
"14577","RPRM",0.82169,0.996646,0.62706,1.04,15059,0.994,NA,"other"
"14578","ADAMTSL5",0.8218,0.996646,-0.066693,0.55,12520,0.991,NA,"other"
"14579","AURKC",0.82188,0.996646,0.076008,0.8,13928,0.993,NA,"other"
"14580","IGSF9B",0.82195,0.996646,0.15379,0.62,12943,0.992,NA,"other"
"14581","SLC39A3",0.82198,0.996646,-0.39991,0.74,13619,0.993,NA,"other"
"14582","CITED1",0.82225,0.996646,0.013776,0.71,13423,0.992,NA,"other"
"14583","NRG2",0.82229,0.996646,-0.14496,0.51,12315,0.991,NA,"other"
"14584","LRRC26",0.82236,0.996646,0.34997,1.02,14945,0.993,NA,"other"
"14585","AEBP2",0.82255,0.996646,-0.14482,0.45,11897,0.99,NA,"other"
"14586","CHIC1",0.82266,0.996646,0.031123,1.5,16426,0.998,NA,"other"
"14587","VWA7",0.82284,0.996646,-0.21218,0.22,10375,0.99,NA,"other"
"14588","LRCH1",0.82288,0.996646,0.27585,1.05,15073,0.994,NA,"other"
"14589","NFKB1",0.82289,0.996646,0.80068,0.99,14832,0.993,NA,"other"
"14590","MDGA2",0.82291,0.996646,0.010291,0.92,14513,0.993,NA,"other"
"14591","HIST1H1E",0.82299,0.996646,1.4247,2.09,17225,1,NA,"other"
"14592","STX19",0.82301,0.996646,0.34742,0.93,14554,0.993,NA,"other"
"14593","PIGZ",0.82304,0.996646,0.1016,0.71,13432,0.992,NA,"other"
"14594","RAB12",0.82306,0.996646,0.94601,1.17,15518,0.994,NA,"other"
"14595","TOP2A",0.82306,0.996646,0.18515,0.46,11945,0.99,"Essential","Essential"
"14596","PDZRN3",0.82323,0.996646,0.37722,1.16,15511,0.994,NA,"other"
"14597","SYT7",0.82326,0.996646,0.73239,1.08,15202,0.994,NA,"other"
"14598","C20orf202",0.82335,0.996646,0.99639,1.19,15583,0.995,NA,"other"
"14599","TMPO",0.8234,0.996646,-0.050733,0.55,12523,0.991,NA,"other"
"14600","JAG2",0.82344,0.996646,-0.096469,0.62,12913,0.992,NA,"other"
"14601","KL",0.82346,0.996646,-0.13674,0.42,11731,0.99,NA,"other"
"14602","LRIG2",0.82351,0.996646,0.085539,0.64,13071,0.992,NA,"other"
"14603","GHRH",0.82363,0.996646,0.59394,2.12,17253,1,"Nonessential","Nonessential"
"14604","OR51J1",0.82363,0.996646,0.34574,0.89,14358,0.993,NA,"other"
"14605","MGLL",0.82363,0.996646,-0.42838,0.15,9856,0.99,NA,"other"
"14606","MGAT4C",0.82363,0.996646,2.5306,2.14,17266,1,NA,"other"
"14607","MPST",0.82363,0.996646,-2.011,0.01,8851,0.99,NA,"other"
"14608","CDAN1",0.82363,0.996646,-1.3372,0.48,12068,0.99,NA,"other"
"14609","MMP15",0.82363,0.996646,-1.3372,0.24,10448,0.99,NA,"other"
"14610","FAM47B",0.82363,0.996646,-0.18352,0.97,14746,0.993,NA,"other"
"14611","GPR153",0.82363,0.996646,1.0121,1.27,15839,0.995,NA,"other"
"14612","RANBP2",0.82363,0.996646,-0.80904,0.62,12917,0.992,NA,"other"
"14613","WDR77",0.8237,0.996646,-0.63816,0.33,11034,0.99,NA,"other"
"14614","BCL2A1",0.82374,0.996646,-0.065456,0.55,12541,0.991,NA,"other"
"14615","RCOR2",0.82395,0.996646,1.4136,1.2,15616,0.995,NA,"other"
"14616","WHSC1",0.82421,0.996646,0.2299,0.91,14464,0.993,NA,"other"
"14617","HHLA3",0.82428,0.996646,-0.13746,0.35,11182,0.99,NA,"other"
"14618","NKX3-1",0.82431,0.996646,0.69168,1.06,15136,0.994,NA,"other"
"14619","MPHOSPH10",0.82447,0.996646,0.40439,1.02,14973,0.993,NA,"other"
"14620","SPHKAP",0.8246,0.996646,0.88551,1.15,15449,0.994,NA,"other"
"14621","LPAR5",0.82463,0.996646,0.85805,1.12,15373,0.994,NA,"other"
"14622","ENG",0.82469,0.996646,-0.27548,0.85,14192,0.993,NA,"other"
"14623","ADAMTS2",0.82479,0.996646,0.1783,1.02,14951,0.993,NA,"other"
"14624","CHD9",0.82483,0.996646,-0.74332,0.26,10610,0.99,NA,"other"
"14625","SOCS2",0.82499,0.996646,0.0068181,0.61,12863,0.992,NA,"other"
"14626","ZNF771",0.82517,0.996646,-0.49061,0.4,11541,0.99,NA,"other"
"14627","ARRDC2",0.82522,0.996646,-0.17965,0.44,11826,0.99,NA,"other"
"14628","DPF1",0.82539,0.996646,0.59279,1.03,14988,0.993,NA,"other"
"14629","NR2C2AP",0.82562,0.996646,-0.26174,0.25,10517,0.99,NA,"other"
"14630","ZNF593",0.82562,0.996646,-0.80904,1.05,15086,0.994,NA,"other"
"14631","KIAA1683",0.82562,0.996646,0.19393,0.74,13616,0.993,NA,"other"
"14632","GGCX",0.82562,0.996646,-0.80904,0.92,14526,0.993,NA,"other"
"14633","TXK",0.82562,0.996646,-1.6585,0.53,12433,0.991,NA,"other"
"14634","PHF3",0.82562,0.996646,-1.3372,1.44,16306,0.997,NA,"other"
"14635","ZNF335",0.82562,0.996646,0.42645,0.96,14674,0.993,NA,"other"
"14636","CNST",0.82562,0.996646,-0.02219,1.45,16320,0.997,NA,"other"
"14637","VASH1",0.82562,0.996646,-1.0234,0.11,9588,0.99,NA,"other"
"14638","SYAP1",0.82562,0.996646,0.86492,1.31,15976,0.996,NA,"other"
"14639","CYB5R2",0.82567,0.996646,-0.13973,0.57,12673,0.992,NA,"other"
"14640","GLRA1",0.82571,0.996646,-0.067816,0.5,12176,0.99,"Nonessential","Nonessential"
"14641","CAPN7",0.82575,0.996646,0.40563,0.94,14600,0.993,NA,"other"
"14642","MAGEC1",0.82603,0.996646,-0.40021,0.28,10747,0.99,NA,"other"
"14643","C5orf54",0.82623,0.996646,-0.59646,0.39,11422,0.99,NA,"other"
"14644","GNG11",0.82633,0.996646,-0.016508,0.51,12319,0.991,NA,"other"
"14645","LRRC28",0.82634,0.996646,0.51418,1.28,15889,0.995,NA,"other"
"14646","CYP27C1",0.82656,0.996646,-0.31703,0.4,11488,0.99,NA,"other"
"14647","TLR9",0.82675,0.996646,0.6514,1.03,15012,0.994,NA,"other"
"14648","RNF169",0.82675,0.996646,0.75234,0.87,14284,0.993,NA,"other"
"14649","NR1I2",0.82679,0.996646,-0.16718,0.42,11735,0.99,NA,"other"
"14650","TBPL1",0.82683,0.996646,-0.39663,0.32,11004,0.99,NA,"other"
"14651","ACOT8",0.82684,0.996646,0.45853,1.03,14997,0.993,NA,"other"
"14652","GOLPH3",0.82687,0.996646,1.9894,1.08,15203,0.994,NA,"other"
"14653","NUCB1",0.82696,0.996646,1.0267,1.19,15590,0.995,NA,"other"
"14654","GPR135",0.82708,0.996646,-0.063187,0.9,14401,0.993,NA,"other"
"14655","IMMP1L",0.82708,0.996646,-0.038913,0.61,12857,0.992,NA,"other"
"14656","PRMT10",0.82708,0.996646,-0.33937,0.62,12953,0.992,NA,"other"
"14657","NPY2R",0.82728,0.996646,0.20848,0.8,13926,0.993,NA,"other"
"14658","PATE1",0.82731,0.996646,0.37609,0.59,12763,0.992,NA,"other"
"14659","ACTRT2",0.82754,0.996646,0.53309,1.03,15010,0.994,NA,"other"
"14660","MEFV",0.82756,0.996646,0.84025,1.16,15491,0.994,NA,"other"
"14661","BHLHA15",0.82757,0.996646,-0.096621,0.52,12406,0.991,NA,"other"
"14662","SKA2",0.82764,0.996646,-0.8183,0.26,10605,0.99,NA,"other"
"14663","RBKS",0.82764,0.996646,-1.3372,0.25,10519,0.99,NA,"other"
"14664","SSR3",0.82764,0.996646,-1.3372,0.1,9458,0.99,NA,"other"
"14665","ADAD2",0.82764,0.996646,-0.086747,0.42,11723,0.99,NA,"other"
"14666","ZNF541",0.82764,0.996646,0.77181,1.41,16242,0.997,NA,"other"
"14667","S100PBP",0.82781,0.996646,1.4015,1.3,15939,0.995,NA,"other"
"14668","OR1Q1",0.82789,0.996646,0.065514,0.73,13560,0.993,NA,"other"
"14669","LBR",0.8279,0.996646,1.2371,1.27,15824,0.995,NA,"other"
"14670","CTRB1",0.82793,0.996646,0.47328,0.56,12591,0.992,NA,"other"
"14671","KIAA1715",0.82811,0.996646,0.74267,0.67,13233,0.992,NA,"other"
"14672","ST7-OT4",0.8282,0.996646,1.0623,1.24,15752,0.995,NA,"other"
"14673","ALOXE3",0.82828,0.996646,-0.42548,0.13,9700,0.99,NA,"other"
"14674","UPK1B",0.82854,0.996646,0.41648,0.93,14579,0.993,NA,"other"
"14675","DNAJC10",0.82856,0.996646,0.38241,0.89,14363,0.993,NA,"other"
"14676","FBXL22",0.8286,0.996646,0.0012595,0.83,14080,0.993,NA,"other"
"14677","COL8A1",0.82867,0.996646,0.30667,0.58,12719,0.992,NA,"other"
"14678","HAPLN1",0.8287,0.996646,-2.011,0.39,11425,0.99,NA,"other"
"14679","ZFHX2",0.8287,0.996646,-1.7032,0.64,13077,0.992,NA,"other"
"14680","PCGF6",0.82882,0.996646,0.42564,1.23,15738,0.995,NA,"other"
"14681","CXCL11",0.82888,0.996646,-1.1886,0.5,12197,0.99,NA,"other"
"14682","ARHGAP27",0.82888,0.996646,0.45362,1.03,14989,0.993,NA,"other"
"14683","TDP1",0.82895,0.996646,0.036629,0.52,12362,0.991,NA,"other"
"14684","ODF4",0.829,0.996646,-0.80148,0.65,13097,0.992,NA,"other"
"14685","LARP1",0.829,0.996646,-0.45388,0.79,13853,0.993,NA,"other"
"14686","TIGD5",0.82902,0.996646,0.40469,1.05,15070,0.994,NA,"other"
"14687","PLAC1L",0.82908,0.996646,-0.069301,0.64,13021,0.992,NA,"other"
"14688","SIRT4",0.82911,0.996646,-0.089269,0.5,12160,0.99,NA,"other"
"14689","CECR6",0.82917,0.996646,0.36285,0.92,14503,0.993,NA,"other"
"14690","CDYL",0.82917,0.996646,-0.088661,0.59,12756,0.992,NA,"other"
"14691","TBK1",0.82945,0.996646,0.70142,1.62,16645,1,NA,"other"
"14692","APOF",0.8295,0.996646,-0.47008,0.65,13126,0.992,"Nonessential","Nonessential"
"14693","ZNF720",0.8295,0.996646,0.024028,0.57,12688,0.992,NA,"other"
"14694","DYNLRB2",0.82956,0.996646,0.42723,1.04,15047,0.994,NA,"other"
"14695","AP4E1",0.82958,0.996646,0.80702,1.11,15322,0.994,NA,"other"
"14696","GRIK4",0.82958,0.996646,-0.14666,0.89,14383,0.993,NA,"other"
"14697","PRNT",0.82958,0.996646,-0.80904,0.69,13328,0.992,NA,"other"
"14698","TIGD2",0.8296,0.996646,0.065791,0.35,11208,0.99,NA,"other"
"14699","TMED7",0.82964,0.996646,0.43683,1.04,15025,0.994,NA,"other"
"14700","CASC10",0.82965,0.996646,-0.60997,0.36,11251,0.99,NA,"other"
"14701","NUP210",0.82972,0.996646,0.062812,1.43,16273,0.997,NA,"other"
"14702","COL7A1",0.82982,0.996646,-0.12191,1.89,17025,1,NA,"other"
"14703","IL7",0.82987,0.996646,-0.22357,0.23,10423,0.99,NA,"other"
"14704","DEFB116",0.82995,0.996646,-0.30741,0.36,11253,0.99,NA,"other"
"14705","C2orf53",0.83,0.996646,0.071014,0.53,12452,0.991,NA,"other"
"14706","ZFPM2",0.83003,0.996646,-1.1351,1.08,15217,0.994,NA,"other"
"14707","CCDC68",0.83005,0.996646,0.47243,1.03,15017,0.994,NA,"other"
"14708","ARHGAP8",0.83008,0.996646,-0.68097,0.56,12626,0.992,NA,"other"
"14709","TAF1L",0.8301,0.996646,-0.51813,0.41,11584,0.99,NA,"other"
"14710","MMP27",0.83022,0.996646,0.41179,1.77,16874,1,"Nonessential","Nonessential"
"14711","SERPINA3",0.8303,0.996646,0.081746,0.48,12062,0.99,NA,"other"
"14712","HES1",0.83034,0.996646,0.46748,0.98,14804,0.993,NA,"other"
"14713","PSMD5",0.83036,0.996646,1.1935,1.23,15735,0.995,NA,"other"
"14714","POLR2E",0.83052,0.996646,0.10402,0.87,14281,0.993,NA,"other"
"14715","CMPK2",0.83058,0.996646,0.28282,0.94,14596,0.993,NA,"other"
"14716","SP140L",0.83078,0.996646,-0.64037,0.33,11029,0.99,NA,"other"
"14717","KRTAP5-10",0.83079,0.996646,0.50025,1.05,15061,0.994,NA,"other"
"14718","FGG",0.83082,0.996646,-0.80904,0.12,9635,0.99,NA,"other"
"14719","ITSN1",0.83085,0.996646,1.8175,1.78,16890,1,NA,"other"
"14720","PCGF5",0.83088,0.996646,-0.10432,0.31,10902,0.99,NA,"other"
"14721","AKAP5",0.83096,0.996646,0.010878,0.62,12932,0.992,NA,"other"
"14722","PCCB",0.8311,0.996646,-0.8969,0.4,11482,0.99,NA,"other"
"14723","ARL11",0.8312,0.996646,0.45402,1.26,15821,0.995,NA,"other"
"14724","NAV2",0.83129,0.996646,0.17927,0.63,13015,0.992,NA,"other"
"14725","SLC7A11",0.8313,0.996646,0.50281,1.05,15079,0.994,NA,"other"
"14726","OPTN",0.83137,0.996646,0.28192,1.08,15208,0.994,NA,"other"
"14727","UNC79",0.83145,0.996646,-0.52742,0.09,9422,0.99,NA,"other"
"14728","MR1",0.83166,0.996646,-0.041952,0.85,14202,0.993,NA,"other"
"14729","HCCS",0.8317,0.996646,0.3759,1.02,14972,0.993,NA,"other"
"14730","SLC13A2",0.8317,0.996646,1.1197,1.06,15126,0.994,NA,"other"
"14731","RPN2",0.83174,0.996646,-0.89397,0,8793,0.99,NA,"other"
"14732","LEPREL4",0.832,0.996646,0.34562,1.06,15139,0.994,NA,"other"
"14733","FAM159A",0.83202,0.996646,0.23664,1.08,15200,0.994,NA,"other"
"14734","MEP1B",0.83212,0.996646,0.28057,1.15,15445,0.994,NA,"other"
"14735","PYGM",0.83215,0.996646,0.75326,1.09,15240,0.994,NA,"other"
"14736","PIAS3",0.83235,0.996646,0.56094,1.42,16246,0.997,NA,"other"
"14737","GIPC3",0.83236,0.996646,0.35086,0.75,13694,0.993,NA,"other"
"14738","NFE2L3",0.8324,0.996646,-0.24732,0.37,11361,0.99,NA,"other"
"14739","GATA4",0.83254,0.996646,0.76371,2.08,17217,1,NA,"other"
"14740","OR10Q1",0.83258,0.996646,0.16148,1.48,16390,0.997,NA,"other"
"14741","RASSF6",0.83289,0.996646,-0.32453,0.38,11386,0.99,NA,"other"
"14742","REXO2",0.83292,0.996646,-1.077,0.22,10346,0.99,NA,"other"
"14743","GNAS",0.83293,0.996646,0.47228,1.24,15749,0.995,NA,"other"
"14744","WFDC1",0.83295,0.996646,-0.29903,0.6,12816,0.992,NA,"other"
"14745","TCFL5",0.83306,0.996646,-0.19805,0.68,13239,0.992,NA,"other"
"14746","CCT6B",0.83311,0.996646,-0.19411,1.54,16503,0.998,NA,"other"
"14747","ADGB",0.83317,0.996646,0.13928,0.82,14038,0.993,NA,"other"
"14748","GSPT2",0.83324,0.996646,1.3795,0.93,14553,0.993,NA,"other"
"14749","KLHL42",0.83326,0.996646,1.9664,0.99,14817,0.993,NA,"other"
"14750","PDE3A",0.83344,0.996646,0.045491,0.53,12450,0.991,NA,"other"
"14751","PGAM5",0.8335,0.996646,-0.2251,0.39,11433,0.99,NA,"other"
"14752","TXNDC12",0.83381,0.996646,0.75369,0.94,14635,0.993,NA,"other"
"14753","PHAX",0.83383,0.996646,-1.3372,0.53,12420,0.991,NA,"other"
"14754","WDR38",0.83383,0.996646,-1.3243,0.27,10666,0.99,NA,"other"
"14755","PLA2G4A",0.83383,0.996646,0.48705,0.94,14607,0.993,NA,"other"
"14756","RGMB",0.83383,0.996646,-0.30621,0.24,10472,0.99,NA,"other"
"14757","CCDC158",0.83383,0.996646,-0.64256,0.3,10882,0.99,NA,"other"
"14758","C15orf52",0.83383,0.996646,0.011018,0.86,14236,0.993,NA,"other"
"14759","LRPPRC",0.83412,0.996646,-0.2408,0.75,13680,0.993,"Essential","Essential"
"14760","PLK1",0.83421,0.996646,-0.30207,0.7,13373,0.992,NA,"other"
"14761","ANKAR",0.83441,0.996646,-0.61007,0.15,9807,0.99,NA,"other"
"14762","C5orf45",0.83453,0.996646,0.78037,1.52,16463,0.998,NA,"other"
"14763","HIST3H3",0.83483,0.996646,-0.65563,0.09,9423,0.99,NA,"other"
"14764","CDC42EP3",0.83493,0.996646,0.44977,1.06,15144,0.994,NA,"other"
"14765","MAN2B1",0.83495,0.996646,1.2258,1.26,15817,0.995,NA,"other"
"14766","RASAL2",0.83502,0.996646,0.43485,1.08,15191,0.994,NA,"other"
"14767","POLR3G",0.83551,0.996646,1.9658,1.27,15827,0.995,NA,"other"
"14768","KCNJ1",0.83554,0.996646,-0.25318,0.99,14848,0.993,NA,"other"
"14769","EVI5L",0.83554,0.996646,-0.11427,1.17,15538,0.994,NA,"other"
"14770","KIAA1257",0.83554,0.996646,-0.037504,0.3,10843,0.99,NA,"other"
"14771","LCA5L",0.83554,0.996646,0.20601,0.79,13837,0.993,NA,"other"
"14772","RHBDL2",0.83554,0.996646,-1.5119,-0.09,8111,0.99,NA,"other"
"14773","CCDC27",0.83554,0.996646,-1.3372,0.88,14349,0.993,NA,"other"
"14774","RXFP2",0.83554,0.996646,0.41586,1.26,15818,0.995,"Nonessential","Nonessential"
"14775","CENPBD1",0.83554,0.996646,-0.085218,0.72,13554,0.992,NA,"other"
"14776","ERCC4",0.83554,0.996646,1.2364,1.18,15556,0.994,"Essential","Essential"
"14777","LIPJ",0.83554,0.996646,-0.1554,0.65,13110,0.992,NA,"other"
"14778","GIN1",0.83554,0.996646,0.023978,1.1,15270,0.994,NA,"other"
"14779","IYD",0.83554,0.996646,0.35541,0.6,12802,0.992,NA,"other"
