Gene,label
MTRF1L,Essential_Gene
DGCR14,Essential_Gene
RNF8,Essential_Gene
LSG1,Essential_Gene
GTF2B,Essential_Gene
ISG20L2,Essential_Gene
RBM19,Essential_Gene
DICER1,Essential_Gene
SKA3,Essential_Gene
SRP9,Essential_Gene
RPL21,Essential_Gene
SNRPB,Essential_Gene
COX7C,Essential_Gene
RPS19BP1,Essential_Gene
CUL1,Essential_Gene
PTPA,Essential_Gene
VPS18,Essential_Gene
NSUN4,Essential_Gene
PPP1R14B,Essential_Gene
FAM168A,Essential_Gene
PKMYT1,Essential_Gene
LSM7,Essential_Gene
PTPN11,Essential_Gene
TUBGCP3,Essential_Gene
NAE1,Essential_Gene
SMARCB1,Essential_Gene
PPAN,Essential_Gene
GFER,Essential_Gene
POLR3A,Essential_Gene
FKBP1A,Essential_Gene
LUC7L3,Essential_Gene
RPS23,Essential_Gene
TRAPPC1,Essential_Gene
MRPL38,Essential_Gene
BCAS2,Essential_Gene
NEPRO,Essential_Gene
WDR83,Essential_Gene
XPO1,Essential_Gene
USP36,Essential_Gene
GTF3A,Essential_Gene
NFE2L3,Essential_Gene
CDIPT,Essential_Gene
RPS13,Essential_Gene
PPP1CB,Essential_Gene
SAE1,Essential_Gene
ELP5,Essential_Gene
RBM25,Essential_Gene
PI4KA,Essential_Gene
POLD2,Essential_Gene
FTSJ3,Essential_Gene
JAZF1,Essential_Gene
SRPR,Essential_Gene
UBE2M,Essential_Gene
ATRIP,Essential_Gene
RPL38,Essential_Gene
POLR2F,Essential_Gene
WDR82,Essential_Gene
ATP23,Essential_Gene
MED17,Essential_Gene
NRBP1,Essential_Gene
WDR75,Essential_Gene
RIOK2,Essential_Gene
RBMXL1,Essential_Gene
MDM2,Essential_Gene
RAN,Essential_Gene
ORAOV1,Essential_Gene
RACGAP1,Essential_Gene
PSMD8,Essential_Gene
NAA50,Essential_Gene
EXOSC8,Essential_Gene
SENP6,Essential_Gene
FAM96A,Essential_Gene
MED26,Essential_Gene
INTS5,Essential_Gene
RPL14,Essential_Gene
SRSF10,Essential_Gene
OSTC,Essential_Gene
SNRNP70,Essential_Gene
RPS12,Essential_Gene
TSPYL5,Essential_Gene
ALG1L,Essential_Gene
DCTN5,Essential_Gene
NOPCHAP1,Essential_Gene
POLD3,Essential_Gene
CCNH,Essential_Gene
NAA10,Essential_Gene
RPL26L1,Essential_Gene
H2AJ,Essential_Gene
TIMM13,Essential_Gene
SUPT6H,Essential_Gene
CEBPZ,Essential_Gene
MRPL57,Essential_Gene
CCT6A,Essential_Gene
POLR1E,Essential_Gene
CCDC84,Essential_Gene
INO80,Essential_Gene
PGAM4,Essential_Gene
GAR1,Essential_Gene
KRBOX5,Essential_Gene
AK4,Essential_Gene
GLE1,Essential_Gene
IFITM2,Essential_Gene
TSR2,Essential_Gene
POMP,Essential_Gene
CLK2,Essential_Gene
SRSF7,Essential_Gene
KIAA1429,Essential_Gene
POLR1H,Essential_Gene
SPC25,Essential_Gene
ARPC3,Essential_Gene
UXT,Essential_Gene
NOL9,Essential_Gene
GET3,Essential_Gene
LENG8,Essential_Gene
ESRRA,Essential_Gene
TELO2,Essential_Gene
POLD1,Essential_Gene
MED9,Essential_Gene
SUDS3,Essential_Gene
NSF,Essential_Gene
CHTF8,Essential_Gene
ANAPC5,Essential_Gene
GRWD1,Essential_Gene
BUB1B,Essential_Gene
H2BC5,Essential_Gene
TCEB1,Essential_Gene
C1QBP,Essential_Gene
SLBP,Essential_Gene
HNRNPU,Essential_Gene
SDHD,Essential_Gene
SNAPC1,Essential_Gene
ADSS2,Essential_Gene
NARS,Essential_Gene
COA5,Essential_Gene
RPL10,Essential_Gene
TAF5,Essential_Gene
PREB,Essential_Gene
TBP,Essential_Gene
YPEL1,Essential_Gene
SNRNP27,Essential_Gene
FAM32A,Essential_Gene
BUD23,Essential_Gene
PIP5K1A,Essential_Gene
UTP3,Essential_Gene
