sgRNA	Gene	HT29-Reference	HT29-Baseline	HT29-D1	HT29-D2	HT29-80-1	HT29-80-2
sg_154467_2	CCDC167	1664	1282	1278	879	2020	926
sg_9914_4	ATP2C2	3192	2709	2961	2364	2475	2643
sg_54829_2	ASPN	5060	4310	3350	3135	2059	2138
sg_81539_2	SLC38A1	1128	745	589	557	884	915
sg_55788_1	LMBRD1	2707	1666	1557	1757	2783	2829
sg_138151_4	NACC2	2897	2536	2445	1771	1420	1386
sg_79501_4	OR4F5	1422	1585	1841	1517	1216	2241
sg_167227_4	DCP2	2198	1318	1236	811	810	1191
sg_6663_1	SOX10	2548	2636	3764	2920	3528	2504
sg_375346_1	TMEM110	2723	2600	2029	1646	1934	2321
sg_9447_1	AIM2	3505	3139	2819	2515	2167	2641
sg_402635_3	GRIFIN	2590	2223	2762	1556	3819	3710
sg_NTC_721	Non_Targeting_Control_721	4190	3461	3631	3407	6007	4012
sg_84154_3	RPF2	942	406	135	47	308	49
sg_255022_1	CALHM1	6166	4851	5211	4256	4181	2738
sg_10902_1	BRD8	2532	1428	1087	704	501	368
sg_4013_4	VWA5A	1241	985	1007	1284	340	277
sg_341350_2	OVCH1	1601	1567	1469	1153	694	652
sg_90736_3	FAM104B	3433	3656	2996	1993	1935	2368
sg_55503_3	TRPV6	1042	904	821	847	660	416
sg_3909_1	LAMA3	3632	2655	1834	1751	1966	2620
sg_5537_1	PPP6C	701	447	37	3	253	470
sg_64710_1	NUCKS1	2674	2605	2406	2061	866	1610
sg_10492_2	SYNCRIP	2204	1042	343	390	1739	1852
sg_58498_2	MYL7	2788	2059	1555	888	937	1366
sg_5723_4	PSPH	3419	3002	2689	2485	2166	3047
sg_10485_2	C1orf61	6170	5976	6202	5700	2753	4015
sg_64718_1	UNKL	909	623	663	568	387	193
sg_6249_4	CLIP1	2700	2760	2796	2804	1466	1807
sg_56916_4	SMARCAD1	2851	2341	2059	1715	2977	1547
sg_55114_1	ARHGAP17	2495	2474	2578	1653	5929	4976
sg_644943_4	RASSF10	4161	4818	5157	4381	2605	3168
sg_2122_4	MECOM	1232	864	872	419	204	358
sg_10681_2	GNB5	1068	874	851	536	466	370
sg_4542_1	MYO1F	2818	2595	3230	2175	7673	6607
sg_57697_1	FANCM	2146	2083	1887	1224	1922	1528
sg_55275_2	VPS53	1730	1352	953	956	716	967
sg_9462_2	RASAL2	1299	1126	1552	1101	1881	1235
sg_28986_2	MAGEH1	1323	1168	934	640	1002	1508
sg_4837_2	NNMT	3264	3193	3123	2563	3043	2218
sg_4179_4	CD46	1459	1198	1186	935	360	481
sg_170825_4	GSX2	3372	2621	1879	2240	1711	1388
sg_79618_1	HMBOX1	3270	2554	2965	2671	2169	2842
sg_389840_3	MAP3K15	1402	1303	953	1458	1134	610
sg_1832_1	DSP	5597	5364	5595	4900	6744	8743
sg_79573_1	TTC13	2021	1638	1829	924	772	497
sg_3848_4	KRT1	1398	1264	1276	831	446	707
sg_56158_4	TEX12	2412	1816	1945	1452	1422	1710
sg_8539_4	API5	4183	3335	1845	1515	1910	1641
sg_9685_1	CLINT1	2947	2390	2548	1806	3782	3034
sg_84215_4	ZNF541	1519	1162	973	943	500	1046
sg_55311_3	ZNF444	3833	2868	3525	2369	3170	2862
sg_673_4	BRAF	2463	1725	709	540	3201	1737
sg_51504_3	TRMT112	3329	1091	90	49	113	74
sg_NTC_703	Non_Targeting_Control_703	2720	2040	1886	1991	2736	1973
sg_387755_4	INSC	2024	1580	1719	1132	1260	521
sg_5510_2	PPP1R7	1384	685	51	143	58	65
sg_4843_1	NOS2	2629	1834	1415	1270	2192	1425
sg_79693_1	YRDC	1140	770	14	118	18	36
sg_57643_4	ZSWIM5	5303	3940	3886	2941	4914	3198
sg_79083_4	MLPH	3164	3262	3818	2576	2270	2109
sg_3489_2	IGFBP6	1992	1547	1528	1575	2266	1974
sg_143941_2	TTC36	2220	2037	2704	1470	1923	1239
sg_79830_4	ZMYM1	2319	2071	2803	1762	1902	2004
sg_64422_2	ATG3	3042	2545	872	662	424	219
sg_3574_1	IL7	4560	3908	4240	3305	2154	1834
sg_59277_3	NTN4	1979	1934	1739	1275	1666	1655
sg_1325_3	CORT	3761	3839	3530	3201	2707	2997
sg_4869_4	NPM1	2211	2019	824	934	406	712
sg_26512_1	INTS6	3137	2374	1972	1211	1096	1567
sg_81608_1	FIP1L1	2730	2103	1074	904	832	657
sg_80243_1	PREX2	4832	4306	4146	2902	5376	5924
sg_84210_3	ANKRD20A1	4029	3801	3365	2938	3193	1501
sg_6748_3	SSR4	4271	3749	3207	2137	2317	2223
sg_257202_1	GPX6	5653	4569	4774	3998	2266	2633
sg_57593_3	EBF4	4679	4650	4443	3831	5479	3889
sg_230_1	ALDOC	2947	1643	1396	981	798	1148
sg_6142_2	RPL18A	591	193	65	32	13	21
sg_8499_2	PPFIA2	6898	6592	6066	5823	6992	8533
sg_9502_3	XAGE2	1730	1591	1589	1121	2187	527
sg_55010_1	PARPBP	5075	4120	3773	3117	8496	7111
sg_9413_3	FAM189A2	1531	1067	986	1050	2433	1479
sg_79582_1	SPAG16	1085	1159	1670	1299	1460	1555
sg_7477_4	WNT7B	1920	1874	2604	1522	2483	1546
sg_26119_3	LDLRAP1	4326	3753	4346	2989	2734	2068
sg_144125_4	OR2AG1	3546	2717	2840	1969	2122	1897
sg_4708_2	NDUFB2	3025	2185	2657	1778	1642	1566
sg_1116_2	CHI3L1	1355	963	1725	843	875	834
sg_399947_4	C11orf87	2561	2137	1166	1245	1216	1128
sg_7013_4	TERF1	1066	430	38	18	21	26
sg_9812_1	KIAA0141	3951	3365	3762	3679	6603	4285
sg_2005_2	ELK4	3040	2445	3228	2402	1931	1719
sg_80133_2	MROH9	2594	2841	3038	2752	1637	1946
sg_9145_2	SYNGR1	3075	2826	2968	2324	3265	2057
sg_386746_3	MRGPRG	1204	949	1261	749	4126	4666
sg_81493_3	SYNC	4061	3556	4042	2552	2494	2218
sg_7775_2	ZNF232	4410	3465	3074	2506	2846	3582
sg_59271_3	EVA1C	1014	825	1231	887	213	203
sg_342908_4	ZNF404	534	514	233	280	348	420
sg_5593_1	PRKG2	3434	3593	3084	3035	4109	3282
sg_221421_2	RSPH9	3988	3148	3204	3022	3905	3397
sg_221061_3	FAM171A1	3226	2241	2807	2220	1135	871
sg_5746_2	PTH2R	2815	2963	2163	2100	2863	2499
sg_23466_3	CBX6	1832	1658	1822	1106	1029	834
sg_3665_4	IRF7	3382	3188	3404	2803	3451	1614
sg_196541_2	METTL21C	2397	2039	2189	1678	1424	1902
sg_51075_4	TMX2	1459	1429	1340	842	697	559
sg_57348_3	TTYH1	1922	1210	1455	1057	749	1184
sg_10249_1	GLYAT	1774	1847	2240	1791	872	816
sg_443_1	ASPA	3568	3130	3175	2736	2183	2630
sg_123688_4	HYKK	5050	5687	4788	5303	3960	3134
sg_84263_3	HSDL2	641	484	640	575	116	50
sg_23321_3	TRIM2	654	583	805	403	680	631
sg_170690_3	ADAMTS16	1283	1595	1399	1388	885	1106
sg_55601_3	DDX60	1055	998	1118	1141	843	379
sg_120935_2	CCDC38	4916	4170	4206	2881	3535	3646
sg_390142_3	OR5D13	4760	4523	5685	3152	3692	2299
sg_160140_2	C11orf65	2394	1954	2263	1511	2637	2128
sg_2248_4	FGF3	2809	2158	2489	2134	4555	1667
sg_594857_4	NPS	2876	2867	2965	2205	1573	2035
sg_728096_3	CT47A1	1180	970	457	449	278	57
sg_51535_3	PPHLN1	2494	1775	2181	1553	1005	1506
sg_84693_3	MCEE	2113	1402	1039	1232	459	233
sg_100506564_1	THEGL	4010	3604	4768	3628	3806	2914
sg_283219_3	KCTD21	4350	3968	4577	4257	3239	5132
sg_1337_4	COX6A1	2790	1926	1828	1549	1239	987
sg_54935_4	DUSP23	2785	2393	2046	1649	2321	3452
sg_85479_4	DNAJC5B	683	656	659	648	381	289
sg_444_1	ASPH	3852	2978	3257	2737	5390	3719
sg_60490_2	PPCDC	831	790	547	218	217	136
sg_57631_4	LRCH2	1517	1679	1507	1022	944	524
sg_219743_1	TYSND1	2976	2712	2157	2063	1346	2248
sg_10200_1	MPHOSPH6	1146	661	251	224	500	466
sg_3346_3	HTN1	4017	4116	3769	3216	5651	4860
sg_170961_3	ANKRD24	3865	2879	2019	1815	2252	1269
sg_1647_3	GADD45A	2260	1805	2504	2162	2609	1354
sg_54328_4	GPR173	857	451	551	385	98	111
sg_3297_2	HSF1	7002	5350	3250	2671	1280	1151
sg_152877_1	FAM53A	4777	3960	3160	2852	3490	3922
