sgrna,gene
sg_259293_4,TAS2R30
sg_55213_1,RCBTB1
sg_57623_2,ZFAT
sg_22852_1,ANKRD26
sg_201501_4,ZBTB7C
sg_26683_3,OR4F3
sg_7441_2,VPREB1
sg_5828_2,PEX2
sg_220074_3,LRTOMT
sg_140612_3,ZFP28
sg_80830_2,APOL6
sg_22937_4,SCAP
sg_NTC_383,Non_Targeting_Control_383
sg_283652_3,SLC24A5
sg_8726_2,EED
sg_286128_4,ZFP41
sg_100507290_3,ZNF865
sg_56832_1,IFNK
sg_146542_2,ZNF688
sg_1737_3,DLAT
sg_5966_3,REL
sg_4324_4,MMP15
sg_NTC_678,Non_Targeting_Control_678
sg_5002_1,SLC22A18
sg_169841_4,ZNF169
sg_64852_1,TUT1
sg_1015_2,CDH17
sg_55704_1,CCDC88A
sg_10025_3,MED16
sg_2357_3,FPR1
sg_5005_3,ORM2
sg_10920_2,COPS8
sg_81606_3,LBH
sg_8904_1,CPNE1
sg_253512_2,SLC25A30
sg_7086_3,TKT
sg_23140_4,ZZEF1
sg_9753_3,ZSCAN12
sg_5268_1,SERPINB5
sg_11141_3,IL1RAPL1
sg_147199_1,SCGB1C1
sg_816_4,CAMK2B
sg_10146_2,G3BP1
sg_116984_4,ARAP2
sg_126068_1,ZNF441
sg_222255_1,ATXN7L1
sg_2733_3,GLE1
sg_9673_3,SLC25A44
sg_101928147_3,C21orf140
sg_1528_4,CYB5A
sg_1028_3,CDKN1C
sg_8353_3,HIST1H3E
sg_245802_4,MS4A6E
sg_100131094_3,DPP9-AS1
sg_54477_4,PLEKHA5
sg_26156_2,RSL1D1
sg_23413_2,NCS1
sg_2115_1,ETV1
sg_26112_3,CCDC69
sg_204_2,AK2
sg_6317_4,SERPINB3
sg_23208_3,SYT11
sg_401565_1,FAM166A
sg_441549_3,CDNF
sg_170622_4,COMMD6
sg_127124_1,ATP6V1G3
sg_94039_2,ZNF101
sg_55860_2,ACTR10
sg_5261_3,PHKG2
sg_26528_3,DAZAP1
sg_25853_4,DCAF12
sg_5782_3,PTPN12
sg_26281_4,FGF20
sg_133418_4,EMB
sg_7049_2,TGFBR3
sg_563_1,AZGP1
sg_10298_2,PAK4
sg_5775_1,PTPN4
sg_151888_3,BTLA
sg_151050_3,KANSL1L
sg_54477_2,PLEKHA5
sg_57332_2,CBX8
sg_57826_2,RAP2C
sg_219986_4,OR4D11
sg_10552_3,ARPC1A
sg_26286_4,ARFGAP3
sg_9648_4,GCC2
sg_NTC_25,Non_Targeting_Control_25
sg_22928_1,SEPHS2
sg_84148_1,KAT8
sg_25775_4,C22orf24
sg_100125288_1,ZGLP1
sg_4905_3,NSF
sg_348801_2,LNP1
sg_390148_4,OR5W2
sg_6975_4,TECTB
sg_51754_2,TMEM8B
sg_170506_1,DHX36
sg_197258_3,FUK
sg_8763_2,CD164
sg_646486_2,FABP12
sg_23483_1,TGDS
sg_26270_1,FBXO6
sg_861_4,RUNX1
sg_5979_4,RET
sg_56931_2,DUS3L
sg_923_2,CD6
sg_143379_1,C10orf82
sg_221472_1,FGD2
sg_NTC_688,Non_Targeting_Control_688
sg_525_2,ATP6V1B1
sg_23587_2,ELP5
sg_440498_3,HSBP1L1
sg_390874_2,ONECUT3
sg_255631_3,COL24A1
sg_60526_2,LDAH
sg_6874_4,TAF4
sg_83447_2,SLC25A31
sg_1188_2,CLCNKB
sg_317662_2,FAM149B1
sg_389333_2,PROB1
sg_91653_4,BOC
sg_7187_2,TRAF3
sg_132884_2,EVC2
sg_10160_1,FARP1
sg_57461_4,ISY1
sg_26146_1,TRAF3IP1
sg_374875_1,HSD11B1L
sg_245915_3,DEFB112
sg_128817_4,CSTL1
sg_55605_3,KIF21A
sg_389119_2,FAM212A
sg_23558_1,WBP2
sg_128209_1,KLF17
sg_54949_2,SDHAF2
sg_677_1,ZFP36L1
sg_55020_2,TTC38
sg_84698_3,CAPS2
sg_6898_1,TAT
sg_3708_3,ITPR1
sg_254778_1,C8orf46
sg_54897_4,CASZ1
sg_10189_1,ALYREF
sg_4257_3,MGST1
sg_3340_1,NDST1
sg_54816_3,ZNF280D
sg_326625_3,MMAB
sg_10480_4,EIF3M
sg_114799_1,ESCO1
sg_93974_2,ATPIF1
sg_27247_3,NFU1
sg_115361_4,GBP4
sg_203447_2,NRK
sg_338785_4,KRT79
sg_51035_2,UBXN1
sg_23365_1,ARHGEF12
sg_4242_1,MFNG
sg_8546_3,AP3B1
sg_27185_2,DISC1
sg_9358_3,ITGBL1
sg_1292_4,COL6A2
sg_11281_3,POU6F2
sg_5862_1,RAB2A
sg_145858_1,C15orf32
sg_27198_1,HCAR1
sg_206358_4,SLC36A1
sg_57787_2,MARK4
sg_25901_2,CCDC28A
sg_10524_4,KAT5
sg_3797_4,KIF3C
sg_392465_1,GLOD5
sg_150383_2,CDPF1
sg_79974_4,CPED1
sg_27076_2,LYPD3
sg_10490_3,VTI1B
sg_64782_1,AEN
sg_22996_4,TTC39A
sg_7074_3,TIAM1
sg_1282_1,COL4A1
sg_135_3,ADORA2A
sg_25904_3,CNOT10
sg_2169_2,FABP2
sg_23416_3,KCNH3
sg_284309_1,ZNF776
sg_400360_2,C15orf54
sg_134510_4,UBLCP1
sg_64784_1,CRTC3
sg_84217_4,ZMYND12
sg_2947_1,GSTM3
sg_79369_1,B3GNT4
sg_94081_1,SFXN1
sg_8346_4,HIST1H2BI
sg_51706_2,CYB5R1
sg_4072_3,EPCAM
sg_6768_4,ST14
sg_4123_1,MAN2C1
sg_25871_2,C3orf17
sg_201625_4,DNAH12
sg_9415_4,FADS2
sg_146_3,ADRA1D
sg_79659_1,DYNC2H1
sg_26468_2,LHX6
sg_5833_1,PCYT2
sg_10695_3,CNPY3
sg_1676_3,DFFA
sg_57794_2,SUGP1
sg_4992_1,OR1F1
sg_5923_1,RASGRF1
